date,real,predicho,set
2010-01-01 00:00:00,51.0,51.48876,train
2010-01-01 01:00:00,49.0,50.476013,train
2010-01-01 02:00:00,52.0,49.68654,train
2010-01-01 03:00:00,47.0,49.14843,train
2010-01-01 04:00:00,49.0,47.956654,train
2010-01-01 05:00:00,49.5,44.631332,train
2010-01-01 06:00:00,52.0,49.510555,train
2010-01-01 07:00:00,50.0,61.270336,train
2010-01-01 08:00:00,51.0,62.014557,train
2010-01-01 09:00:00,50.84,59.871586,train
2010-01-01 10:00:00,52.0,59.108074,train
2010-01-01 11:00:00,58.0,59.716763,train
2010-01-01 12:00:00,129.0,61.257294,train
2010-01-01 13:00:00,129.0,62.53203,train
2010-01-01 14:00:00,129.0,63.401886,train
2010-01-01 15:00:00,129.0,96.68655,train
2010-01-01 16:00:00,129.0,82.98095,train
2010-01-01 17:00:00,129.0,88.7624,train
2010-01-01 18:00:00,129.0,131.85722,train
2010-01-01 19:00:00,148.0,100.51784,train
2010-01-01 20:00:00,159.0,118.84984,train
2010-01-01 21:00:00,181.0,78.789474,train
2010-01-01 22:00:00,138.0,70.82185,train
2010-01-01 23:00:00,109.0,100.18496,train
2010-01-02 00:00:00,105.0,126.66359,train
2010-01-02 01:00:00,124.0,141.90121,train
2010-01-02 02:00:00,120.0,150.10919,train
2010-01-02 03:00:00,132.0,165.76962,train
2010-01-02 04:00:00,140.0,137.73662,train
2010-01-02 05:00:00,152.0,122.96233,train
2010-01-02 06:00:00,148.0,121.66404,train
2010-01-02 07:00:00,164.0,134.98096,train
2010-01-02 08:00:00,158.0,132.28607,train
2010-01-02 09:00:00,154.0,137.39684,train
2010-01-02 10:00:00,159.0,152.23792,train
2010-01-02 11:00:00,164.0,151.20126,train
2010-01-02 12:00:00,170.0,148.1573,train
2010-01-02 13:00:00,149.0,164.6957,train
2010-01-02 14:00:00,154.0,154.64984,train
2010-01-02 15:00:00,164.0,152.61743,train
2010-01-02 16:00:00,156.0,164.18138,train
2010-01-02 17:00:00,125.99999999999999,164.5117,train
2010-01-02 18:00:00,90.0,165.71907,train
2010-01-02 19:00:00,62.99999999999999,135.72713,train
2010-01-02 20:00:00,65.0,146.55482,train
2010-01-02 21:00:00,55.0,159.68304,train
2010-01-02 22:00:00,65.0,144.21756,train
2010-01-02 23:00:00,83.0,135.06729,train
2010-01-03 00:00:00,91.0,111.25373,train
2010-01-03 01:00:00,86.0,95.320915,train
2010-01-03 02:00:00,82.0,101.55049,train
2010-01-03 03:00:00,86.0,92.67985,train
2010-01-03 04:00:00,78.0,105.52207,train
2010-01-03 05:00:00,98.0,113.066086,train
2010-01-03 06:00:00,107.0,115.98228,train
2010-01-03 07:00:00,90.0,106.281975,train
2010-01-03 08:00:00,96.0,97.23711,train
2010-01-03 09:00:00,95.0,99.75333,train
2010-01-03 10:00:00,86.0,94.52835,train
2010-01-03 11:00:00,70.0,103.70854,train
2010-01-03 12:00:00,61.0,121.09126,train
2010-01-03 13:00:00,53.0,104.14772,train
2010-01-03 14:00:00,71.0,107.79461,train
2010-01-03 15:00:00,72.0,109.07483,train
2010-01-03 16:00:00,76.0,99.88857,train
2010-01-03 17:00:00,73.0,83.927155,train
2010-01-03 18:00:00,79.0,81.59256,train
2010-01-03 19:00:00,58.0,80.60385,train
2010-01-03 20:00:00,25.0,61.257717,train
2010-01-03 21:00:00,26.0,59.761726,train
2010-01-03 22:00:00,28.0,62.000732,train
2010-01-03 23:00:00,26.0,60.035484,train
2010-01-04 00:00:00,20.0,56.63449,train
2010-01-04 01:00:00,29.0,53.603775,train
2010-01-04 02:00:00,26.0,30.630238,train
2010-01-04 03:00:00,27.0,31.07189,train
2010-01-04 04:00:00,27.0,32.203327,train
2010-01-04 05:00:00,25.0,30.40664,train
2010-01-04 06:00:00,29.0,27.793896,train
2010-01-04 07:00:00,32.0,34.740093,train
2010-01-04 08:00:00,28.0,28.637285,train
2010-01-04 09:00:00,29.0,29.855505,train
2010-01-04 10:00:00,30.0,31.159473,train
2010-01-04 11:00:00,30.0,29.128582,train
2010-01-04 12:00:00,28.0,35.506474,train
2010-01-04 13:00:00,26.0,37.937046,train
2010-01-04 14:00:00,31.0,37.582985,train
2010-01-04 15:00:00,33.0,40.468044,train
2010-01-04 16:00:00,29.0,41.37472,train
2010-01-04 17:00:00,31.0,40.57308,train
2010-01-04 18:00:00,30.0,39.41441,train
2010-01-04 19:00:00,34.0,32.5151,train
2010-01-04 20:00:00,27.0,34.144047,train
2010-01-04 21:00:00,25.0,35.577595,train
2010-01-04 22:00:00,28.0,33.662292,train
2010-01-04 23:00:00,28.0,34.61825,train
2010-01-05 00:00:00,27.0,36.46627,train
2010-01-05 01:00:00,27.0,39.268955,train
2010-01-05 02:00:00,27.0,35.70473,train
2010-01-05 03:00:00,29.0,33.960888,train
2010-01-05 04:00:00,36.0,37.810303,train
2010-01-05 05:00:00,30.0,45.58263,train
2010-01-05 06:00:00,27.0,44.41761,train
2010-01-05 07:00:00,39.0,48.196358,train
2010-01-05 08:00:00,41.0,47.461994,train
2010-01-05 09:00:00,33.0,51.66131,train
2010-01-05 10:00:00,50.0,56.184,train
2010-01-05 11:00:00,56.0,52.54751,train
2010-01-05 12:00:00,59.0,48.503418,train
2010-01-05 13:00:00,60.0,63.308754,train
2010-01-05 14:00:00,84.0,80.407234,train
2010-01-05 15:00:00,106.0,68.88094,train
2010-01-05 16:00:00,66.0,76.03914,train
2010-01-05 17:00:00,50.0,80.77826,train
2010-01-05 18:00:00,56.0,85.482,train
2010-01-05 19:00:00,77.0,72.42321,train
2010-01-05 20:00:00,50.0,76.992424,train
2010-01-05 21:00:00,44.0,83.03232,train
2010-01-05 22:00:00,27.0,62.316605,train
2010-01-05 23:00:00,28.0,51.8864,train
2010-01-06 00:00:00,21.0,57.877922,train
2010-01-06 01:00:00,25.0,88.95123,train
2010-01-06 02:00:00,20.0,71.63831,train
2010-01-06 03:00:00,29.0,60.43733,train
2010-01-06 04:00:00,34.0,45.56167,train
2010-01-06 05:00:00,42.0,43.401325,train
2010-01-06 06:00:00,28.0,38.838623,train
2010-01-06 07:00:00,36.0,41.937225,train
2010-01-06 08:00:00,48.0,32.091976,train
2010-01-06 09:00:00,49.0,43.774033,train
2010-01-06 10:00:00,52.0,48.480938,train
2010-01-06 11:00:00,56.0,56.217808,train
2010-01-06 12:00:00,96.0,45.59476,train
2010-01-06 13:00:00,75.0,51.820415,train
2010-01-06 14:00:00,105.0,60.558628,train
2010-01-06 15:00:00,132.0,82.788124,train
2010-01-06 16:00:00,93.0,77.9438,train
2010-01-06 17:00:00,131.0,84.56578,train
2010-01-06 18:00:00,127.0,87.37957,train
2010-01-06 19:00:00,130.0,91.6063,train
2010-01-06 20:00:00,43.0,73.04184,train
2010-01-06 21:00:00,37.0,71.01646,train
2010-01-06 22:00:00,30.0,53.208134,train
2010-01-06 23:00:00,28.0,62.138695,train
2010-01-07 00:00:00,24.0,59.63006,train
2010-01-07 01:00:00,23.0,90.1747,train
2010-01-07 02:00:00,24.0,62.16768,train
2010-01-07 03:00:00,27.0,36.996464,train
2010-01-07 04:00:00,40.0,41.264236,train
2010-01-07 05:00:00,42.0,45.93891,train
