date,real,predicho,set
2010-01-01 00:00:00,56.5,55.73491,train
2010-01-01 01:00:00,47.0,47.904285,train
2010-01-01 02:00:00,51.0,50.866375,train
2010-01-01 03:00:00,49.0,48.746216,train
2010-01-01 04:00:00,52.0,51.173088,train
2010-01-01 05:00:00,47.0,47.068977,train
2010-01-01 06:00:00,49.0,48.529945,train
2010-01-01 07:00:00,49.5,52.857964,train
2010-01-01 08:00:00,52.0,53.446304,train
2010-01-01 09:00:00,50.0,49.15325,train
2010-01-01 10:00:00,51.0,50.30736,train
2010-01-01 11:00:00,50.84,49.99925,train
2010-01-01 12:00:00,52.0,54.483624,train
2010-01-01 13:00:00,58.0,54.912624,train
2010-01-01 14:00:00,129.0,56.001774,train
2010-01-01 15:00:00,129.0,84.35193,train
2010-01-01 16:00:00,129.0,81.44586,train
2010-01-01 17:00:00,129.0,85.83562,train
2010-01-01 18:00:00,129.0,138.41846,train
2010-01-01 19:00:00,129.0,112.577995,train
2010-01-01 20:00:00,129.0,125.74575,train
2010-01-01 21:00:00,148.0,98.74896,train
2010-01-01 22:00:00,159.0,91.50049,train
2010-01-01 23:00:00,181.0,110.43597,train
2010-01-02 00:00:00,138.0,120.864075,train
2010-01-02 01:00:00,109.0,140.66827,train
2010-01-02 02:00:00,105.0,160.94891,train
2010-01-02 03:00:00,124.0,172.1266,train
2010-01-02 04:00:00,120.0,129.06482,train
2010-01-02 05:00:00,132.0,112.93595,train
2010-01-02 06:00:00,140.0,123.96796,train
2010-01-02 07:00:00,152.0,139.85411,train
2010-01-02 08:00:00,148.0,129.84549,train
2010-01-02 09:00:00,164.0,136.0874,train
2010-01-02 10:00:00,158.0,147.3309,train
2010-01-02 11:00:00,154.0,147.40222,train
2010-01-02 12:00:00,159.0,144.6894,train
2010-01-02 13:00:00,164.0,158.8913,train
2010-01-02 14:00:00,170.0,157.59654,train
2010-01-02 15:00:00,149.0,156.28265,train
2010-01-02 16:00:00,154.0,162.32451,train
2010-01-02 17:00:00,164.0,163.50717,train
2010-01-02 18:00:00,156.0,172.17278,train
2010-01-02 19:00:00,125.99999999999999,150.17137,train
2010-01-02 20:00:00,90.0,153.14644,train
2010-01-02 21:00:00,62.99999999999999,153.74382,train
2010-01-02 22:00:00,65.0,151.97787,train
2010-01-02 23:00:00,55.0,121.57657,train
2010-01-03 00:00:00,65.0,93.56131,train
2010-01-03 01:00:00,83.0,81.48436,train
2010-01-03 02:00:00,91.0,90.01077,train
